wordform	normal_form	POS	animacy	aspect	case	gender	involvement	mood	number	person	tense	transitivity	voice
опыте	опыт	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
увидел	увидеть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
смех	смех	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
самоё	самый	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
страшное	страшный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
оружие	оружие	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
смехом	смех	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
можно	можно	PRED	None	None	None	None	None	None	None	None	pres	None	None
убить	убить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
даже	даже	PRCL	None	None	None	None	None	None	None	None	None	None	None
убийство	убийство	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
сидел	сидеть	VERB	None	impf	None	masc	None	indc	sing	None	past	intr	None
за	за	PREP	None	None	None	None	None	None	None	None	None	None	None
столом	стол	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
смеялся	смеяться	VERB	None	impf	None	masc	None	indc	sing	None	past	intr	None
отчаянным	отчаянный	ADJF	None	None	ablt	masc	None	None	sing	None	None	None	None
последним	последний	ADJF	None	None	datv	None	None	None	plur	None	None	None	None
смехом	смех	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
видел	видеть	VERB	None	impf	None	masc	None	indc	sing	None	past	tran	None
никакого	никакой	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
выхода	выход	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
всего	всего	ADVB	None	None	None	None	None	None	None	None	None	None	None
этого	это	NPRO	None	None	gent	neut	None	None	sing	None	None	None	None
нелепого	нелепый	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
положения	положение	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
знаю	знать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
чём	чем	CONJ	None	None	None	None	None	None	None	None	None	None	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
кончилось	кончиться	VERB	None	perf	None	neut	None	indc	sing	None	past	intr	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
развивалось	развиваться	VERB	None	impf	None	neut	None	indc	sing	None	past	intr	None
естественным	естественный	ADJF	None	None	datv	None	None	None	plur	None	None	None	None
путём	путём	PREP	None	None	None	None	None	None	None	None	None	None	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
тут	тут	ADVB	None	None	None	None	None	None	None	None	None	None	None
вдруг	вдруг	ADVB	None	None	None	None	None	None	None	None	None	None	None
новая	новый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
внешняя	внешний	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
слагающая	слагать	PRTF	None	impf	nomn	femn	None	None	sing	None	pres	tran	actv
зазвонил	зазвонить	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
телефон	телефон	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
кинулся	кинуться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
стиснул	стиснуть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
трубку	трубка	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
может	мочь	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
трубке	трубка	NOUN	inan	None	datv	femn	None	None	sing	None	None	None	None
чей-то	чей-то	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
незнакомый	незнакомый	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
голос	голос	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
сейчас	сейчас	ADVB	None	None	None	None	None	None	None	None	None	None	None
томительное	томительный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
бесконечное	бесконечный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
жужжание	жужжание	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
издали	издать	VERB	None	perf	None	None	None	indc	plur	None	past	tran	None
тяжёлые	тяжёлый	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
шаги	шаг	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
ближе	близкий	COMP	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
гулче	гулкий	COMP	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
чугунней	чугунный	COMP	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
вот	вот	PRCL	None	None	None	None	None	None	None	None	None	None	None
д-503	д-503	None	None	None	None	None	None	None	None	None	None	None	None
угу	угу	INTJ	None	None	None	None	None	None	None	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
вами	вы	NPRO	None	None	ablt	None	None	None	plur	2per	None	None	None
говорит	говорить	VERB	None	impf	None	None	None	indc	sing	3per	pres	tran	None
благодетель	благодетель	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
немедленно	немедленно	ADVB	None	None	None	None	None	None	None	None	None	None	None
ко	к	PREP	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
динь	динь	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
трубка	трубка	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
повешена	повесить	PRTS	None	perf	None	femn	None	None	sing	None	past	None	pssv
динь	динь	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
ю	ю	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
ещё	ещё	PRCL	None	None	None	None	None	None	None	None	None	None	None
лежала	лежалый	ADJS	None	None	None	femn	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
кровати	кровать	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
глаза	глаз	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
закрыты	закрытый	ADJS	None	None	None	None	None	None	plur	None	None	None	None
жабры	жабра	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
широко	широко	ADVB	None	None	None	None	None	None	None	None	None	None	None
раздвинуты	раздвинуть	PRTS	None	perf	None	None	None	None	plur	None	past	None	pssv
улыбкой	улыбка	NOUN	inan	None	ablt	femn	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
сгрёб	сгрести	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
полу	пол	NOUN	anim	None	datv	masc	None	None	sing	None	None	None	None
её	она	NPRO	None	None	gent	femn	None	None	sing	3per	None	None	None
платье	платье	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
кинул	кинуть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
неё	нея	NOUN	inan	None	datv	femn	None	None	sing	None	None	None	None
сквозь	сквозь	PREP	None	None	None	None	None	None	None	None	None	None	None
зубы	зуб	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
ну	ну	PRCL	None	None	None	None	None	None	None	None	None	None	None
скорее	скорее	CONJ	None	None	None	None	None	None	None	None	None	None	None
скорее	скорее	CONJ	None	None	None	None	None	None	None	None	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
приподнялась	приподняться	VERB	None	perf	None	femn	None	indc	sing	None	past	intr	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
локте	локоть	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
груди	грудь	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
сплеснулись	сплеснуться	VERB	None	perf	None	None	None	indc	plur	None	past	intr	None
набок	набок	ADVB	None	None	None	None	None	None	None	None	None	None	None
глаза	глаз	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
круглые	круглый	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
вся	весь	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
повосковела	повосковеть	VERB	None	perf	None	femn	None	indc	sing	None	past	intr	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
ну	ну	PRCL	None	None	None	None	None	None	None	None	None	None	None
одевайтесь	одеваться	VERB	None	impf	None	None	excl	impr	plur	None	None	intr	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
вся	весь	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
узлом	узел	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
крепко	крепко	ADVB	None	None	None	None	None	None	None	None	None	None	None
вцепившись	вцепиться	GRND	None	perf	None	None	None	None	None	None	past	intr	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
платье	платье	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
голос	голос	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
вплющённый	вплющить	PRTF	None	impf	nomn	masc	None	None	sing	None	past	tran	pssv
отвернитесь	отвернуться	VERB	None	perf	None	None	excl	impr	plur	None	None	intr	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
отвернулся	отвернуться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
прислонился	прислониться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
лбом	лоб	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
к	к	PREP	None	None	None	None	None	None	None	None	None	None	None
стеклу	стекло	NOUN	inan	None	datv	neut	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
чёрном	чёрный	NOUN	anim	None	loct	masc	None	None	sing	None	None	None	None
мокром	мокрый	ADJF	None	None	loct	neut	None	None	sing	None	None	None	None
зеркале	зеркало	NOUN	inan	None	loct	neut	None	None	sing	None	None	None	None
дрожали	дрожать	VERB	None	impf	None	None	None	indc	plur	None	past	intr	None
огни	огонь	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
фигуры	фигура	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
искры	искра	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
во	в	PREP	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
зачем	зачем	ADVB	None	None	None	None	None	None	None	None	None	None	None
он	он	NPRO	None	None	nomn	masc	None	None	sing	3per	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
неужели	неужели	PRCL	None	None	None	None	None	None	None	None	None	None	None
ему	он	NPRO	None	None	datv	masc	None	None	sing	3per	None	None	None
уже	уже	ADVB	None	None	None	None	None	None	None	None	None	None	None
известно	известно	PRED	None	None	None	None	None	None	None	None	pres	None	None
о	о	PREP	None	None	None	None	None	None	None	None	None	None	None
ней	она	NPRO	None	None	loct	femn	None	None	sing	3per	None	None	None
обо	о	PREP	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
обо	о	PREP	None	None	None	None	None	None	None	None	None	None	None
всём	весь	ADJF	None	None	datv	None	None	None	plur	None	None	None	None
ю	ю	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
уже	уже	ADVB	None	None	None	None	None	None	None	None	None	None	None
одетая	одетый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
двери	дверь	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
два	два	NUMR	None	None	nomn	masc	None	None	None	None	None	None	None
шага	шаг	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
к	к	PREP	None	None	None	None	None	None	None	None	None	None	None
ней	она	NPRO	None	None	loct	femn	None	None	sing	3per	None	None	None
стиснул	стиснуть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
ей	она	NPRO	None	None	datv	femn	None	None	sing	3per	None	None	None
руки	рука	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
будто	будто	CONJ	None	None	None	None	None	None	None	None	None	None	None
именно	именно	PRCL	None	None	None	None	None	None	None	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
её	она	NPRO	None	None	gent	femn	None	None	sing	3per	None	None	None
рук	рука	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
сейчас	сейчас	ADVB	None	None	None	None	None	None	None	None	None	None	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
каплям	капля	NOUN	inan	None	datv	femn	None	None	plur	None	None	None	None
выжму	выжать	VERB	None	perf	None	None	None	indc	sing	1per	futr	tran	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
нужно	нужно	PRED	None	None	None	None	None	None	None	None	pres	None	None
слушайте	слушать	VERB	None	impf	None	None	excl	impr	plur	None	None	tran	None
её	она	NPRO	None	None	gent	femn	None	None	sing	3per	None	None	None
имя	имя	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
знаете	знаете	CONJ	None	None	None	None	None	None	None	None	None	None	None
о	о	PREP	None	None	None	None	None	None	None	None	None	None	None
ком	ком	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
её	она	NPRO	None	None	gent	femn	None	None	sing	3per	None	None	None
называли	называть	VERB	None	impf	None	None	None	indc	plur	None	past	tran	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
правду	правда	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
нужно	нужно	PRED	None	None	None	None	None	None	None	None	pres	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
равно	равно	CONJ	None	None	None	None	None	None	None	None	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
правду	правда	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
почему	почему	ADVB	None	None	None	None	None	None	None	None	None	None	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
раз	раз	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
уж	уж	ADVB	None	None	None	None	None	None	None	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
пошли	послать	VERB	None	perf	None	None	excl	impr	sing	None	None	tran	None
туда	туда	ADVB	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
сообщили	сообщить	VERB	None	perf	None	None	None	indc	plur	None	past	tran	None
нижняя	нижний	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
губа	губа	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
ней	она	NPRO	None	None	loct	femn	None	None	sing	3per	None	None	None
вдруг	вдруг	ADVB	None	None	None	None	None	None	None	None	None	None	None
наизнанку	наизнанку	ADVB	None	None	None	None	None	None	None	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
того	тот	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
мальчишки	мальчишка	NOUN	anim	None	nomn	masc	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
щёк	щека	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
щекам	щека	NOUN	inan	None	datv	femn	None	None	plur	None	None	None	None
капли	капля	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
потому	потому	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
боялась	бояться	VERB	None	impf	None	femn	None	indc	sing	None	past	intr	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
её	она	NPRO	None	None	gent	femn	None	None	sing	3per	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
за	за	PREP	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
можете	мочь	VERB	None	impf	None	None	None	indc	plur	2per	pres	intr	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
перестанете	перестать	VERB	None	perf	None	None	None	indc	plur	2per	futr	intr	None
лю	лю	None	None	None	None	None	None	None	None	None	None	None	None
о	о	PREP	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
могу	мочь	VERB	None	impf	None	None	None	indc	sing	1per	pres	intr	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
могла	мочь	VERB	None	impf	None	femn	None	indc	sing	None	past	intr	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
понял	понять	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
правда	правда	PRCL	None	None	None	None	None	None	None	None	None	None	None
нелепая	нелепый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
смешная	смешной	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
человеческая	человеческий	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
правда	правда	PRCL	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
открыл	открыть	VERB	None	perf	None	masc	None	indc	sing	None	past	tran	None
дверь	дверь	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
запись	запись	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
36-я	36-я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
конспект	конспект	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
пустые	пустой	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
страницы	страница	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
христианский	христианский	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
бог	бог	NOUN	anim	None	nomn	masc	None	None	sing	None	None	None	None
о	о	PREP	None	None	None	None	None	None	None	None	None	None	None
моей	мой	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
матери	матерь	NOUN	anim	None	gent	femn	None	None	sing	None	None	None	None
тут	тут	ADVB	None	None	None	None	None	None	None	None	None	None	None
странно	странно	ADVB	None	None	None	None	None	None	None	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
голове	голов	NOUN	anim	None	loct	masc	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
пустая	пустой	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
белая	белый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
страница	страница	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
туда	туда	ADVB	None	None	None	None	None	None	None	None	None	None	None
шёл	идти	VERB	None	impf	None	masc	None	indc	sing	None	past	intr	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
ждал	ждать	VERB	None	impf	None	masc	None	indc	sing	None	past	tran	None
знаю	знать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
ждал	ждать	VERB	None	impf	None	masc	None	indc	sing	None	past	tran	None
ничего	ничто	NPRO	None	None	gent	neut	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
помню	помнить	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
одного	один	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
звука	звук	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
одного	один	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
лица	лицо	NOUN	anim	None	gent	neut	None	None	sing	None	None	None	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
одного	один	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
жеста	жест	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
будто	будто	CONJ	None	None	None	None	None	None	None	None	None	None	None
были	быть	VERB	None	impf	None	None	None	indc	plur	None	past	intr	None
перерезаны	перерезать	PRTS	None	perf	None	None	None	None	plur	None	past	None	pssv
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
провода	провод	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
между	между	PREP	None	None	None	None	None	None	None	None	None	None	None
мною	я	NPRO	None	None	ablt	None	None	None	sing	1per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
миром	мир	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
очнулся	очнуться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
уже	уже	ADVB	None	None	None	None	None	None	None	None	None	None	None
стоя	стоя	ADVB	None	None	None	None	None	None	None	None	None	None	None
перёд	перед	PREP	None	None	None	None	None	None	None	None	None	None	None
ним	он	NPRO	None	None	ablt	masc	None	None	sing	3per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
страшно	страшно	ADVB	None	None	None	None	None	None	None	None	None	None	None
поднять	поднять	INFN	None	perf	None	None	None	None	None	None	None	tran	None
глаза	глаз	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
вижу	видеть	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
огромные	огромный	ADJF	inan	None	accs	None	None	None	plur	None	None	None	None
чугунные	чугунный	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
руки	рука	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
коленях	колено	NOUN	inan	None	loct	neut	None	None	plur	None	None	None	None
эти	этот	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
руки	рука	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
давили	давить	VERB	None	impf	None	None	None	indc	plur	None	past	tran	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
самого	самый	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
подгибали	подгибать	VERB	None	impf	None	None	None	indc	plur	None	past	tran	None
колени	колено	NOUN	inan	None	accs	neut	None	None	plur	None	None	None	None
он	он	NPRO	None	None	nomn	masc	None	None	sing	3per	None	None	None
медленно	медленно	ADVB	None	None	None	None	None	None	None	None	None	None	None
шевелил	шевелить	VERB	None	impf	None	masc	None	indc	sing	None	past	tran	None
пальцами	палец	NOUN	inan	None	ablt	masc	None	None	plur	None	None	None	None
лицо	лицо	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
где-то	где-то	ADVB	None	None	None	None	None	None	None	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
тумане	туман	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
вверху	вверху	ADVB	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
будто	будто	CONJ	None	None	None	None	None	None	None	None	None	None	None
вот	вот	PRCL	None	None	None	None	None	None	None	None	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
потому	потому	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
голос	голос	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
доходил	доходить	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
ко	к	PREP	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
такой	такой	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
высоты	высота	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
он	он	NPRO	None	None	nomn	masc	None	None	sing	3per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
гремел	греметь	VERB	None	impf	None	masc	None	indc	sing	None	past	intr	None
